,date,open,close,high,low,volume,code
0,2006-07-05,2.316,2.2,2.35,2.182,17639020.19,601988
1,2006-07-06,2.176,2.159,2.182,2.142,3725565.48,601988
2,2006-07-07,2.159,2.136,2.165,2.124,2097985.56,601988
3,2006-07-10,2.136,2.147,2.159,2.124,1127236.15,601988
4,2006-07-11,2.153,2.176,2.194,2.13,1356450.5,601988
5,2006-07-12,2.171,2.147,2.171,2.147,1007250.25,601988
6,2006-07-13,2.147,2.089,2.147,2.084,2589898.32,601988
7,2006-07-14,2.072,2.084,2.107,2.06,1189663.31,601988
8,2006-07-17,2.078,2.078,2.084,2.06,674959.33,601988
9,2006-07-18,2.084,2.072,2.084,2.054,572431.42,601988
10,2006-07-19,2.072,2.031,2.072,2.02,952228.36,601988
11,2006-07-20,2.025,2.037,2.043,2.025,531780.63,601988
12,2006-07-21,2.037,2.037,2.06,2.025,606348.62,601988
13,2006-07-24,2.02,2.008,2.025,2.002,667744.4,601988
14,2006-07-25,2.008,2.014,2.025,2.008,528183.8,601988
15,2006-07-26,2.014,2.002,2.014,1.991,744106.9,601988
16,2006-07-27,2.002,2.02,2.054,1.996,925821.9,601988
17,2006-07-28,2.02,2.002,2.02,1.991,591601.28,601988
18,2006-07-31,1.996,1.95,2.002,1.938,893224.02,601988
19,2006-08-01,1.95,1.927,1.95,1.915,884181.14,601988
20,2006-08-02,1.915,1.944,1.95,1.904,1025117.76,601988
21,2006-08-03,1.927,1.938,1.944,1.921,508897.34,601988
22,2006-08-04,1.938,1.909,1.944,1.904,448242.29,601988
23,2006-08-07,1.904,1.875,1.904,1.869,576077.8,601988
24,2006-08-08,1.875,1.898,1.904,1.875,444212.31,601988
25,2006-08-09,1.898,1.886,1.904,1.88,360779.38,601988
26,2006-08-10,1.886,1.904,1.909,1.886,379385.93,601988
27,2006-08-11,1.904,1.898,1.909,1.886,247081.27,601988
28,2006-08-14,1.898,1.88,1.909,1.869,414140.09,601988
29,2006-08-15,1.88,1.898,1.904,1.875,336707.74,601988
30,2006-08-16,1.898,1.927,1.938,1.898,760192.64,601988
31,2006-08-17,1.921,1.909,1.927,1.892,325913.17,601988
32,2006-08-18,1.909,1.898,1.921,1.898,198544.1,601988
33,2006-08-21,1.875,1.898,1.904,1.869,318118.83,601988
34,2006-08-22,1.904,1.898,1.915,1.892,335866.13,601988
35,2006-08-23,1.904,1.898,1.915,1.892,332023.04,601988
36,2006-08-24,1.904,1.909,1.909,1.886,320920.35,601988
37,2006-08-25,1.898,1.898,1.909,1.892,458513.32,601988
38,2006-08-28,1.904,1.915,1.921,1.892,778083.71,601988
39,2006-08-29,1.915,1.909,1.927,1.904,704035.27,601988
40,2006-08-30,1.909,1.904,1.915,1.892,267011.05,601988
41,2006-08-31,1.904,1.892,1.904,1.886,389037.41,601988
42,2006-09-01,1.892,1.88,1.898,1.875,512442.76,601988
43,2006-09-04,1.88,1.886,1.892,1.875,373111.0,601988
44,2006-09-05,1.886,1.898,1.915,1.88,538454.71,601988
45,2006-09-06,1.898,1.909,1.909,1.892,299583.42,601988
46,2006-09-07,1.909,1.898,1.921,1.892,440394.73,601988
47,2006-09-08,1.898,1.904,1.909,1.892,273410.07,601988
48,2006-09-11,1.904,1.921,1.921,1.898,476489.78,601988
49,2006-09-12,1.921,1.956,1.967,1.915,1489160.82,601988
50,2006-09-13,1.95,1.944,1.967,1.944,913353.5,601988
51,2006-09-14,1.944,1.938,1.962,1.927,415328.3,601988
52,2006-09-15,1.938,2.008,2.025,1.938,2353154.45,601988
53,2006-09-18,2.02,1.996,2.025,1.985,877708.07,601988
54,2006-09-19,1.996,1.991,2.008,1.979,530869.8,601988
55,2006-09-20,1.991,1.962,1.996,1.956,767313.36,601988
56,2006-09-21,1.962,1.967,1.979,1.95,619414.51,601988
57,2006-09-22,1.973,1.938,1.979,1.933,757481.6,601988
58,2006-09-25,1.933,1.933,1.944,1.915,544195.54,601988
59,2006-09-26,1.927,1.927,1.927,1.915,303211.31,601988
60,2006-09-27,1.927,1.938,1.938,1.921,367440.12,601988
61,2006-09-28,1.938,1.927,1.938,1.921,400604.4,601988
62,2006-09-29,1.933,1.933,1.944,1.927,759182.95,601988
63,2006-10-09,1.938,1.973,1.979,1.915,3449496.08,601988
64,2006-10-10,1.962,1.944,1.967,1.938,1268604.51,601988
65,2006-10-11,1.944,1.944,1.956,1.933,686248.91,601988
66,2006-10-12,1.944,1.933,1.95,1.921,763882.43,601988
67,2006-10-13,1.933,1.95,1.967,1.933,1330888.96,601988
68,2006-10-16,1.956,1.944,1.962,1.938,524121.74,601988
69,2006-10-17,1.938,1.938,1.944,1.927,533129.34,601988
70,2006-10-18,1.933,1.95,1.95,1.921,589168.29,601988
71,2006-10-19,1.95,1.938,1.95,1.927,674108.42,601988
72,2006-10-20,1.938,1.944,1.962,1.933,740912.12,601988
73,2006-10-23,1.944,1.921,1.95,1.915,656032.78,601988
74,2006-10-24,1.921,1.956,1.956,1.921,763192.48,601988
75,2006-10-25,1.956,1.956,1.985,1.944,1671259.0,601988
76,2006-10-26,1.956,1.967,1.979,1.944,1666347.09,601988
77,2006-10-27,1.967,1.915,1.967,1.909,1735872.78,601988
78,2006-10-30,1.915,1.892,1.915,1.886,1024165.65,601988
79,2006-10-31,1.904,1.904,1.921,1.892,605971.4,601988
80,2006-11-01,1.909,1.915,1.915,1.892,705363.53,601988
81,2006-11-02,1.915,1.904,1.915,1.898,520012.47,601988
82,2006-11-03,1.904,1.927,1.944,1.898,1083877.7,601988
83,2006-11-06,1.915,1.938,1.938,1.909,806297.44,601988
84,2006-11-07,1.944,1.95,1.962,1.933,1066047.69,601988
85,2006-11-08,1.95,1.927,1.956,1.927,469331.97,601988
86,2006-11-09,1.921,1.944,1.95,1.921,656016.04,601988
87,2006-11-10,1.944,1.95,1.985,1.944,2860981.13,601988
88,2006-11-13,1.956,1.962,1.996,1.95,1798411.5,601988
89,2006-11-14,1.973,1.985,1.996,1.962,1415015.46,601988
90,2006-11-15,1.991,1.991,1.991,1.956,1266222.15,601988
91,2006-11-16,1.996,2.124,2.182,1.996,6880344.05,601988
92,2006-11-17,2.113,2.118,2.136,2.084,3104671.97,601988
93,2006-11-20,2.118,2.147,2.159,2.101,2604443.6,601988
